seed,iter,L,K,batch_size,loss,wins_vs_random,draws_vs_random,losses_vs_random
0,1,1,3,75,1.0208476781845093,,,
0,2,1,3,90,0.9777532815933228,,,
0,3,1,3,55,0.9848096966743469,,,
0,4,1,3,100,1.028571367263794,,,
0,5,1,3,150,1.0246726274490356,,,
0,6,1,3,165,0.9930354356765747,,,
0,7,1,3,170,0.9697785377502441,,,
0,8,1,3,140,1.001910924911499,,,
0,9,1,3,120,1.0198917388916016,,,
0,10,1,3,165,1.0250837802886963,14,0,6
0,11,2,5,180,1.0886270999908447,,,
0,12,2,5,175,0.9604579210281372,,,
0,13,2,5,190,1.0445367097854614,,,
0,14,2,5,175,0.9978525042533875,,,
0,15,2,5,195,1.028107762336731,,,
0,16,2,5,195,0.9900504946708679,,,
0,17,2,5,195,1.082579255104065,,,
0,18,2,5,195,1.056469202041626,,,
0,19,2,5,195,0.9988500475883484,,,
0,20,2,5,180,1.0843745470046997,3,0,17
0,21,2,5,195,1.0527786016464233,,,
0,22,2,5,185,1.031633973121643,,,
0,23,2,5,205,0.7874258756637573,,,
0,24,2,5,205,0.7518600821495056,,,
0,25,2,5,180,1.3790457248687744,,,
0,26,2,5,195,0.7063583731651306,,,
0,27,2,5,175,0.7691526412963867,,,
0,28,2,5,210,1.2861050367355347,,,
0,29,2,5,175,0.6718196868896484,,,
0,30,2,5,175,0.6495295166969299,3,1,16
0,31,3,7,120,1.0813261270523071,,,
0,32,3,7,145,0.8644935488700867,,,
0,33,3,7,120,1.1492671966552734,,,
0,34,3,7,120,1.1315125226974487,,,
0,35,3,7,120,1.090059757232666,,,
0,36,3,7,145,0.7609337568283081,,,
0,37,3,7,145,0.7387827038764954,,,
0,38,3,7,140,1.3733242750167847,,,
0,39,3,7,170,1.2368934154510498,,,
0,40,3,7,170,1.2085314989089966,14,0,6
0,41,3,7,170,1.1531742811203003,,,
0,42,3,7,170,1.0942155122756958,,,
0,43,3,7,185,0.7966545224189758,,,
0,44,3,7,115,0.9312798976898193,,,
0,45,3,7,115,0.9262998700141907,,,
0,46,3,7,100,1.2118065357208252,,,
0,47,3,7,125,0.8411568403244019,,,
0,48,3,7,145,0.9813786149024963,,,
0,49,3,7,145,0.9441418647766113,,,
0,50,3,7,145,0.8914622068405151,9,0,11
0,51,3,7,170,1.137298345565796,,,
0,52,3,7,125,0.8695318698883057,,,
0,53,3,7,125,0.8530237078666687,,,
0,54,3,7,125,1.0921337604522705,,,
0,55,3,7,125,1.0691100358963013,,,
0,56,3,7,125,1.0362480878829956,,,
0,57,3,7,125,0.8057332634925842,,,
0,58,3,7,125,0.776390016078949,,,
0,59,3,7,125,0.897777259349823,,,
0,60,3,7,115,0.7825189232826233,10,0,10
0,61,3,7,115,0.756797194480896,,,
0,62,3,7,125,0.7105647921562195,,,
0,63,3,7,40,1.1270341873168945,,,
0,64,3,7,115,1.102035641670227,,,
0,65,3,7,115,1.0780444145202637,,,
0,66,3,7,115,1.0687459707260132,,,
0,67,3,7,135,0.9699952006340027,,,
0,68,3,7,125,0.9316204190254211,,,
0,69,3,7,135,0.7751397490501404,,,
0,70,3,7,135,0.7315161824226379,15,0,5
0,71,3,7,155,0.7252524495124817,,,
0,72,3,7,200,1.5801829099655151,,,
0,73,3,7,200,1.6148399114608765,,,
0,74,3,7,115,0.6637430191040039,,,
0,75,3,7,115,0.6489077210426331,,,
0,76,3,7,175,0.5220649242401123,,,
0,77,3,7,155,0.5260003209114075,,,
0,78,3,7,145,0.5159303545951843,,,
0,79,3,7,205,0.9805296659469604,,,
0,80,3,7,170,1.7386610507965088,16,0,4
0,81,3,7,125,0.47579842805862427,,,
0,82,3,7,130,1.405429482460022,,,
0,83,3,7,105,0.7400297522544861,,,
0,84,3,7,105,0.7361723184585571,,,
0,85,3,7,105,0.7209548354148865,,,
0,86,3,7,65,0.6384099125862122,,,
0,87,3,7,65,0.6221999526023865,,,
0,88,3,7,65,0.6016067266464233,,,
0,89,3,7,65,0.5776063799858093,,,
0,90,3,7,65,0.5509925484657288,11,0,9
0,91,3,7,45,0.5869397521018982,,,
0,92,3,7,45,0.5607014298439026,,,
0,93,3,7,45,0.533897340297699,,,
0,94,3,7,35,0.5487006902694702,,,
0,95,3,7,165,0.3803862929344177,,,
0,96,3,7,125,0.4634665846824646,,,
0,97,3,7,125,0.4249131679534912,,,
0,98,3,7,125,0.3788570463657379,,,
0,99,3,7,125,0.33069494366645813,,,
0,100,3,7,210,1.5526782274246216,12,0,8
