seed,iter,L,K,batch_size,loss,wins_vs_random,draws_vs_random,losses_vs_random
0,1,1,3,75,1.0208476781845093,,,
0,2,1,3,90,0.9777532815933228,,,
0,3,1,3,55,0.9848096966743469,,,
0,4,1,3,100,1.028571367263794,,,
0,5,1,3,150,1.0246726274490356,,,
0,6,1,3,165,0.9930354356765747,,,
0,7,1,3,170,0.9697785377502441,,,
0,8,1,3,140,1.001910924911499,,,
0,9,1,3,120,1.0198917388916016,,,
0,10,1,3,165,1.0250837802886963,14,0,6
0,11,1,3,190,0.9532824158668518,,,
0,12,1,3,190,0.9225963354110718,,,
0,13,1,3,190,0.8706251978874207,,,
0,14,1,3,130,0.9059776067733765,,,
0,15,1,3,155,1.057611346244812,,,
0,16,2,5,195,0.9384923577308655,,,
0,17,2,5,195,0.8852604031562805,,,
0,18,2,5,190,1.082851767539978,,,
0,19,2,5,190,1.0671908855438232,,,
0,20,2,5,210,0.04207586497068405,3,1,16
0,21,2,5,175,0.8731802105903625,,,
0,22,2,5,195,0.7560132741928101,,,
0,23,2,5,195,0.7067037224769592,,,
0,24,2,5,205,0.8936612010002136,,,
0,25,2,5,210,0.08144064992666245,,,
0,26,2,5,195,0.9874117374420166,,,
0,27,2,5,210,0.08781509101390839,,,
0,28,2,5,210,0.08815527707338333,,,
0,29,2,5,210,0.08650202304124832,,,
0,30,2,5,210,0.08462106436491013,8,2,10
0,31,2,5,125,0.6952151656150818,,,
0,32,2,5,125,0.6842581033706665,,,
0,33,2,5,105,0.705569326877594,,,
0,34,2,5,165,0.6307494044303894,,,
0,35,2,5,125,0.6027902960777283,,,
0,36,3,7,200,1.3788396120071411,,,
0,37,3,7,200,1.3436369895935059,,,
0,38,3,7,155,0.7037844061851501,,,
0,39,3,7,155,0.6662150025367737,,,
0,40,3,7,115,0.6185274720191956,15,1,4
0,41,3,7,85,0.6128380298614502,,,
0,42,3,7,85,0.5814601182937622,,,
0,43,3,7,85,0.5467947721481323,,,
0,44,3,7,175,0.7679105997085571,,,
0,45,3,7,210,0.06535141170024872,,,
0,46,3,7,210,0.08421892672777176,,,
0,47,3,7,195,0.7266452312469482,,,
0,48,3,7,175,0.5671082139015198,,,
0,49,3,7,210,0.17368485033512115,,,
0,50,3,7,210,0.1875225305557251,7,1,12
0,51,3,7,150,1.417016863822937,,,
0,52,3,7,150,1.3546791076660156,,,
0,53,3,7,170,0.987034261226654,,,
0,54,3,7,160,0.9376077651977539,,,
0,55,3,7,210,0.0848861038684845,,,
0,56,3,7,95,0.7062130570411682,,,
0,57,3,7,95,0.6630269885063171,,,
0,58,3,7,95,0.6124525666236877,,,
0,59,3,7,60,1.5102568864822388,,,
0,60,3,7,185,1.0508769750595093,12,2,6
0,61,3,7,140,1.5408027172088623,,,
0,62,3,7,135,0.4824278652667999,,,
0,63,3,7,135,0.4914519190788269,,,
0,64,3,7,135,0.4909391701221466,,,
0,65,3,7,135,0.48187199234962463,,,
0,66,3,7,165,0.3893137574195862,,,
0,67,3,7,165,0.40191397070884705,,,
0,68,3,7,165,0.4034997224807739,,,
0,69,3,7,165,0.38730114698410034,,,
0,70,3,7,60,1.5707331895828247,10,2,8
0,71,3,7,60,1.5450174808502197,,,
0,72,3,7,60,1.496606469154358,,,
0,73,3,7,60,1.4297213554382324,,,
0,74,3,7,60,1.348960041999817,,,
0,75,3,7,60,1.258885145187378,,,
0,76,3,7,60,1.1637507677078247,,,
0,77,3,7,75,0.9541353583335876,,,
0,78,3,7,105,0.7765387892723083,,,
0,79,3,7,105,0.7590999603271484,,,
0,80,3,7,105,0.7285258769989014,9,2,9
0,81,3,7,105,0.6885825991630554,,,
0,82,3,7,105,0.6425402164459229,,,
0,83,3,7,145,0.450352281332016,,,
0,84,3,7,145,0.413788378238678,,,
0,85,3,7,145,0.3792954981327057,,,
0,86,3,7,120,1.7350788116455078,,,
0,87,3,7,120,1.7068761587142944,,,
0,88,3,7,120,1.6535531282424927,,,
0,89,3,7,75,0.5860777497291565,,,
0,90,3,7,75,0.6124194264411926,7,3,10
0,91,3,7,75,0.6280750632286072,,,
0,92,3,7,75,0.6325980424880981,,,
0,93,3,7,160,0.6001965403556824,,,
0,94,3,7,160,0.5933396220207214,,,
0,95,3,7,210,0.14625957608222961,,,
0,96,3,7,210,0.14989356696605682,,,
0,97,3,7,210,0.14696893095970154,,,
0,98,3,7,210,0.0918235257267952,,,
0,99,3,7,210,0.08588296175003052,,,
0,100,3,7,210,0.07860303670167923,14,1,5
